request_id	correlation_id	batch_id	sample_index	qid	source_file	language	difficulty	subject	worker_dataset	gold	elapsed_ms	uenv_error_code	uenv_error_message	model_endpoint	request_time_cst	timeout_seconds	max_attempts_config	observed_server_reason
olymmath-OlymMATH-EASY-51-EN-978899df	olymmath-uenv-20260716_000508-51	olymmath-uenv-20260716_000508	51	OlymMATH-EASY-51-EN	OlymMATH-EN-EASY.jsonl	EN	EASY	Combinatorics	olymmath-easy	52	239180	5001	episode olymmath-OlymMATH-EASY-51-EN-978899df exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-HARD-57-EN-5bd477b0	olymmath-uenv-20260716_000508-157	olymmath-uenv-20260716_000508	157	OlymMATH-HARD-57-EN	OlymMATH-EN-HARD.jsonl	EN	HARD	Algebra	olymmath-hard	\frac{27}{32}	239414	5001	episode olymmath-OlymMATH-HARD-57-EN-5bd477b0 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-0-ZH-c822a6b3	olymmath-uenv-20260716_000508-200	olymmath-uenv-20260716_000508	200	OlymMATH-EASY-0-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	948	388292	5001	episode olymmath-OlymMATH-EASY-0-ZH-c822a6b3 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-2-ZH-b965f510	olymmath-uenv-20260716_000508-202	olymmath-uenv-20260716_000508	202	OlymMATH-EASY-2-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	代数	olymmath-easy	3	185434	5001	episode olymmath-OlymMATH-EASY-2-ZH-b965f510 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-3-ZH-53deb4d6	olymmath-uenv-20260716_000508-203	olymmath-uenv-20260716_000508	203	OlymMATH-EASY-3-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	几何	olymmath-easy	\frac{18}{5}	240195	5001	episode olymmath-OlymMATH-EASY-3-ZH-53deb4d6 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-4-ZH-3f53a7b3	olymmath-uenv-20260716_000508-204	olymmath-uenv-20260716_000508	204	OlymMATH-EASY-4-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	代数	olymmath-easy	801730806	244961	5001	episode olymmath-OlymMATH-EASY-4-ZH-3f53a7b3 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-5-ZH-38da4a22	olymmath-uenv-20260716_000508-205	olymmath-uenv-20260716_000508	205	OlymMATH-EASY-5-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	几何	olymmath-easy	\pi -\arccos \frac{1}{8}	243633	5001	episode olymmath-OlymMATH-EASY-5-ZH-38da4a22 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-6-ZH-6f3308ab	olymmath-uenv-20260716_000508-206	olymmath-uenv-20260716_000508	206	OlymMATH-EASY-6-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	几何	olymmath-easy	2\sqrt{10}	239344	5001	episode olymmath-OlymMATH-EASY-6-ZH-6f3308ab exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-7-ZH-dd3575e8	olymmath-uenv-20260716_000508-207	olymmath-uenv-20260716_000508	207	OlymMATH-EASY-7-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	78	239762	5001	episode olymmath-OlymMATH-EASY-7-ZH-dd3575e8 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-8-ZH-41e0246d	olymmath-uenv-20260716_000508-208	olymmath-uenv-20260716_000508	208	OlymMATH-EASY-8-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	代数	olymmath-easy	\left[ -\frac{1}{8}, \frac{1}{8} \right]	243255	5001	episode olymmath-OlymMATH-EASY-8-ZH-41e0246d exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-11-ZH-098d4bc1	olymmath-uenv-20260716_000508-211	olymmath-uenv-20260716_000508	211	OlymMATH-EASY-11-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	数论	olymmath-easy	10201	239697	5001	episode olymmath-OlymMATH-EASY-11-ZH-098d4bc1 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-12-ZH-4ff9a8ff	olymmath-uenv-20260716_000508-212	olymmath-uenv-20260716_000508	212	OlymMATH-EASY-12-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	几何	olymmath-easy	201	241199	5001	episode olymmath-OlymMATH-EASY-12-ZH-4ff9a8ff exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-13-ZH-0e112674	olymmath-uenv-20260716_000508-213	olymmath-uenv-20260716_000508	213	OlymMATH-EASY-13-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	代数	olymmath-easy	132	234394	5001	episode olymmath-OlymMATH-EASY-13-ZH-0e112674 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-14-ZH-fdc64ef8	olymmath-uenv-20260716_000508-214	olymmath-uenv-20260716_000508	214	OlymMATH-EASY-14-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	\frac{1}{1112111}	397465	5001	episode olymmath-OlymMATH-EASY-14-ZH-fdc64ef8 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-15-ZH-659efc34	olymmath-uenv-20260716_000508-215	olymmath-uenv-20260716_000508	215	OlymMATH-EASY-15-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	126	241856	5001	episode olymmath-OlymMATH-EASY-15-ZH-659efc34 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-16-ZH-c2fba543	olymmath-uenv-20260716_000508-216	olymmath-uenv-20260716_000508	216	OlymMATH-EASY-16-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	几何	olymmath-easy	6	228083	5001	episode olymmath-OlymMATH-EASY-16-ZH-c2fba543 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-17-ZH-80c0f106	olymmath-uenv-20260716_000508-217	olymmath-uenv-20260716_000508	217	OlymMATH-EASY-17-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	代数	olymmath-easy	4	245278	5001	episode olymmath-OlymMATH-EASY-17-ZH-80c0f106 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-18-ZH-8457a948	olymmath-uenv-20260716_000508-218	olymmath-uenv-20260716_000508	218	OlymMATH-EASY-18-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	21	245457	5001	episode olymmath-OlymMATH-EASY-18-ZH-8457a948 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-19-ZH-5a4efca8	olymmath-uenv-20260716_000508-219	olymmath-uenv-20260716_000508	219	OlymMATH-EASY-19-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	代数	olymmath-easy	\frac{\pi}{6}	348022	5001	episode olymmath-OlymMATH-EASY-19-ZH-5a4efca8 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-20-ZH-799d9fc1	olymmath-uenv-20260716_000508-220	olymmath-uenv-20260716_000508	220	OlymMATH-EASY-20-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	45961	242526	5001	episode olymmath-OlymMATH-EASY-20-ZH-799d9fc1 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-21-ZH-14d8583a	olymmath-uenv-20260716_000508-221	olymmath-uenv-20260716_000508	221	OlymMATH-EASY-21-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	44226	236836	5001	episode olymmath-OlymMATH-EASY-21-ZH-14d8583a exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-22-ZH-6ec3be88	olymmath-uenv-20260716_000508-222	olymmath-uenv-20260716_000508	222	OlymMATH-EASY-22-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	几何	olymmath-easy	\frac{72\sqrt{3}}{25}	243118	5001	episode olymmath-OlymMATH-EASY-22-ZH-6ec3be88 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-23-ZH-28c89b76	olymmath-uenv-20260716_000508-223	olymmath-uenv-20260716_000508	223	OlymMATH-EASY-23-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	2576	242925	5001	episode olymmath-OlymMATH-EASY-23-ZH-28c89b76 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-24-ZH-4405d63b	olymmath-uenv-20260716_000508-224	olymmath-uenv-20260716_000508	224	OlymMATH-EASY-24-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	代数	olymmath-easy	444	249013	5001	episode olymmath-OlymMATH-EASY-24-ZH-4405d63b exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-25-ZH-1fd2bbe6	olymmath-uenv-20260716_000508-225	olymmath-uenv-20260716_000508	225	OlymMATH-EASY-25-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	代数	olymmath-easy	6	240323	5001	episode olymmath-OlymMATH-EASY-25-ZH-1fd2bbe6 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-26-ZH-4ff90320	olymmath-uenv-20260716_000508-226	olymmath-uenv-20260716_000508	226	OlymMATH-EASY-26-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	几何	olymmath-easy	\frac{\sqrt{3}\pi}{2}	245456	5001	episode olymmath-OlymMATH-EASY-26-ZH-4ff90320 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-27-ZH-6274218f	olymmath-uenv-20260716_000508-227	olymmath-uenv-20260716_000508	227	OlymMATH-EASY-27-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	3498120	178717	5001	episode olymmath-OlymMATH-EASY-27-ZH-6274218f exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-28-ZH-ab02134e	olymmath-uenv-20260716_000508-228	olymmath-uenv-20260716_000508	228	OlymMATH-EASY-28-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	几何	olymmath-easy	\frac{7\sqrt{17}}{24}	252672	5001	episode olymmath-OlymMATH-EASY-28-ZH-ab02134e exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-29-ZH-0dbf0bb5	olymmath-uenv-20260716_000508-229	olymmath-uenv-20260716_000508	229	OlymMATH-EASY-29-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	几何	olymmath-easy	\sqrt{3}	244580	5001	episode olymmath-OlymMATH-EASY-29-ZH-0dbf0bb5 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-30-ZH-e3390dd7	olymmath-uenv-20260716_000508-230	olymmath-uenv-20260716_000508	230	OlymMATH-EASY-30-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	2041211	241038	5001	episode olymmath-OlymMATH-EASY-30-ZH-e3390dd7 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-31-ZH-94d1f8ef	olymmath-uenv-20260716_000508-231	olymmath-uenv-20260716_000508	231	OlymMATH-EASY-31-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	几何	olymmath-easy	\frac{5\sqrt{5}\pi}{6}	176587	5001	episode olymmath-OlymMATH-EASY-31-ZH-94d1f8ef exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-32-ZH-06b3ebdd	olymmath-uenv-20260716_000508-232	olymmath-uenv-20260716_000508	232	OlymMATH-EASY-32-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	代数	olymmath-easy	\frac{1}{2}	238208	5001	episode olymmath-OlymMATH-EASY-32-ZH-06b3ebdd exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-33-ZH-ecab16e4	olymmath-uenv-20260716_000508-233	olymmath-uenv-20260716_000508	233	OlymMATH-EASY-33-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	\frac{16}{135}	252128	5001	episode olymmath-OlymMATH-EASY-33-ZH-ecab16e4 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-34-ZH-38d67377	olymmath-uenv-20260716_000508-234	olymmath-uenv-20260716_000508	234	OlymMATH-EASY-34-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	2	240177	5001	episode olymmath-OlymMATH-EASY-34-ZH-38d67377 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-35-ZH-69e62819	olymmath-uenv-20260716_000508-235	olymmath-uenv-20260716_000508	235	OlymMATH-EASY-35-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	几何	olymmath-easy	12	241501	5001	episode olymmath-OlymMATH-EASY-35-ZH-69e62819 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-36-ZH-25de381f	olymmath-uenv-20260716_000508-236	olymmath-uenv-20260716_000508	236	OlymMATH-EASY-36-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	476	237040	5001	episode olymmath-OlymMATH-EASY-36-ZH-25de381f exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-37-ZH-0696a7bb	olymmath-uenv-20260716_000508-237	olymmath-uenv-20260716_000508	237	OlymMATH-EASY-37-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	几何	olymmath-easy	\frac{2}{3}	240530	5001	episode olymmath-OlymMATH-EASY-37-ZH-0696a7bb exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-39-ZH-70023a6d	olymmath-uenv-20260716_000508-239	olymmath-uenv-20260716_000508	239	OlymMATH-EASY-39-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	\frac{133}{780}	241868	5001	episode olymmath-OlymMATH-EASY-39-ZH-70023a6d exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-40-ZH-d492e389	olymmath-uenv-20260716_000508-240	olymmath-uenv-20260716_000508	240	OlymMATH-EASY-40-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	几何	olymmath-easy	[7, 47]	242403	5001	episode olymmath-OlymMATH-EASY-40-ZH-d492e389 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-41-ZH-46654822	olymmath-uenv-20260716_000508-241	olymmath-uenv-20260716_000508	241	OlymMATH-EASY-41-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	几何	olymmath-easy	\frac{\sqrt{89}}{3}	240567	5001	episode olymmath-OlymMATH-EASY-41-ZH-46654822 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-42-ZH-e659123f	olymmath-uenv-20260716_000508-242	olymmath-uenv-20260716_000508	242	OlymMATH-EASY-42-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	195	262090	5001	episode olymmath-OlymMATH-EASY-42-ZH-e659123f exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-43-ZH-95708c4c	olymmath-uenv-20260716_000508-243	olymmath-uenv-20260716_000508	243	OlymMATH-EASY-43-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	20826	241345	5001	episode olymmath-OlymMATH-EASY-43-ZH-95708c4c exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-45-ZH-2a7177c0	olymmath-uenv-20260716_000508-245	olymmath-uenv-20260716_000508	245	OlymMATH-EASY-45-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	355	241160	5001	episode olymmath-OlymMATH-EASY-45-ZH-2a7177c0 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-46-ZH-36904dce	olymmath-uenv-20260716_000508-246	olymmath-uenv-20260716_000508	246	OlymMATH-EASY-46-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	\frac{18}{35}	244878	5001	episode olymmath-OlymMATH-EASY-46-ZH-36904dce exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-47-ZH-2400103c	olymmath-uenv-20260716_000508-247	olymmath-uenv-20260716_000508	247	OlymMATH-EASY-47-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	代数	olymmath-easy	8	241675	5001	episode olymmath-OlymMATH-EASY-47-ZH-2400103c exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-48-ZH-f54b4d2c	olymmath-uenv-20260716_000508-248	olymmath-uenv-20260716_000508	248	OlymMATH-EASY-48-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	代数	olymmath-easy	\frac{49}{4}	243486	5001	episode olymmath-OlymMATH-EASY-48-ZH-f54b4d2c exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-49-ZH-e93fd15e	olymmath-uenv-20260716_000508-249	olymmath-uenv-20260716_000508	249	OlymMATH-EASY-49-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	几何	olymmath-easy	2	240531	5001	episode olymmath-OlymMATH-EASY-49-ZH-e93fd15e exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-52-ZH-bb504215	olymmath-uenv-20260716_000508-252	olymmath-uenv-20260716_000508	252	OlymMATH-EASY-52-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	\frac{16}{473}	238798	5001	episode olymmath-OlymMATH-EASY-52-ZH-bb504215 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-53-ZH-b07eb1ef	olymmath-uenv-20260716_000508-253	olymmath-uenv-20260716_000508	253	OlymMATH-EASY-53-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	代数	olymmath-easy	2	241281	5001	episode olymmath-OlymMATH-EASY-53-ZH-b07eb1ef exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
